"ID,""Alimento"",""Energia_kcal"",""Energia_kJ"",""Agua_g"",""Proteinas_g"",""Grasa_total_g"",""CHO_totales_g"",""CHO_disponibles_g"",""Fibra_g"",""Cenizas_g"",""Calcio_mg"",""Fosforo_mg"",""Zinc_mg"",""Hierro_mg"",""B_caroteno_equivalentes_ug"",""Vitamina_A_equivalentes_ug"",""Tiamina_mg"",""Riboflavina_mg"",""Niacina_mg"",""Vitamina_C_mg"",""Acido_Folico_ug"",""Sodio_mg"",""Potasio_mg"",""ID"""
"A_49,""Pan francés fortificado con hierro"",277,1161,27,8.4,0.2,62.9,60.5,2.4,1.5,35,101,0.74,3.14,NA,0,0.33,0.26,3.14,1,NA,NA,NA,""A_49"""
"A_50,""Quinua. afrecho de"",351,1467,14.1,10.7,4.5,65.9,NA,NA,4.8,573,342,NA,4,NA,0,0.21,0.22,1,NA,NA,NA,NA,""A_50"""
"A_51,""Quinua blanca. (Junín)"",334,1396,12.8,12.5,6.5,66,56,10,2.2,85,155,3.54,3.03,0,0,0.4,0.77,NA,0,NA,30,776,""A_51"""
"A_52,""Quinua blanca (<U+FFFD>uno)"",355,1484,11.1,13.3,6.1,67.1,61.2,5.9,2.4,120,165,2.5,4.31,330,0,0.4,0.24,1.8,0,NA,30,776,""A_52"""
"A_53,""Quinua cocida"",89,372,79,2.8,1.3,16.3,NA,NA,0.6,27,61,NA,1.6,NA,NA,0.01,0,0.26,0,NA,24,472,""A_53"""
"A_54,""Quinua"",351,1470,11.5,13.6,5.8,66.6,60.7,5.9,2.5,56,242,3.3,7.5,NA,0,0.48,0.03,1.4,0.5,NA,30,776,""A_54"""
"A_55,""Quinua dulce. blanca (<U+FFFD>unín)"",361,1510,11.1,11.1,7.7,67.4,61.5,5.9,2.7,93,355,3.3,4.3,NA,0,0.59,0.3,1.23,2.2,NA,30,776,""A_55"""
"A_56,""Quinua dulce. blanca (<U+FFFD>uno)"",349,1459,11.2,11.6,5.3,68.9,63,5.9,3,115,226,3.3,5.3,NA,0,0.73,0.21,1.09,1.1,NA,30,776,""A_56"""
"A_57,""Quinua dulce. rosada (<U+FFFD>unín)"",360,1506,11,12.3,7.2,67.1,61.2,5.9,2.4,80,344,3.3,4.3,NA,0,1,0.3,1.23,1.1,NA,30,776,""A_57"""
"A_58,""Quinua. harina de"",337,1408,11.7,12.4,6,67.2,57.9,9.3,2.8,104,330,5.19,9.65,NA,0,0.19,0.24,0.68,NA,NA,2,913,""A_58"""
